Michigan,3.40,Wisconsin,1.42,draw,08.02.2024
George Mason,1.52,Loyola Chicago,3.00,George Mason,08.02.2024
Mississippi St.,1.28,Georgia,4.40,draw,08.02.2024
NC State,1.65,Pittsburgh,2.60,Pittsburgh,08.02.2024
Providence,2.30,Creighton,1.80,Creighton,08.02.2024
Auburn,1.45,Alabama,3.20,draw,08.02.2024
Illinois State,1.50,Illinois (Chi.),3.10,Illinois State,08.02.2024
Northwestern,1.38,Nebraska,3.60,Nebraska,08.02.2024
Southern Miss,1.45,Old Dominion,3.20,draw,08.02.2024
Drake,1.17,Southern Illinois,6.00,draw,08.02.2024
Louisiana Tech,1.22,Western Kentucky,5.00,draw,08.02.2024
Western Carolina,1.11,Citadel,7.30,Western Carolina,08.02.2024
South Alabama,1.52,Georgia Southern,2.90,South Alabama,08.02.2024
Xavier,1.55,Villanova,2.80,Villanova,08.02.2024
Evansville,5.30,Bradley,1.20,Bradley,08.02.2024
Troy,1.30,Marshall,4.20,draw,08.02.2024
Syracuse,1.25,Louisville,4.60,Syracuse,08.02.2024
Northern Iowa,1.48,Missouri State,3.10,Missouri State,08.02.2024
Arkansas State,3.00,James Madison,1.50,draw,08.02.2024
St. Bonaventure,1.50,UMass,3.00,draw,08.02.2024
Lehigh,1.25,Army,4.80,Lehigh,08.02.2024
Wichita State,1.22,UTSA Roadrunners,4.80,Wichita State,08.02.2024
Mercer,2.60,Furman,1.62,draw,08.02.2024
Boston University,5.00,Colgate,1.22,Boston University,08.02.2024
East Tennessee St,1.62,Wofford,2.70,East Tennessee St,08.02.2024
Seton Hall,1.07,Georgetown,9.00,Seton Hall,07.02.2024
Winthrop,1.16,Charleston Southern,6.30,Winthrop,07.02.2024
La Salle,1.65,St. Louis,2.60,St. Louis,07.02.2024
Navy,1.88,Bucknell,2.20,Bucknell,08.02.2024
UNC Asheville,2.40,High Point,1.75,UNC Asheville,07.02.2024
Longwood,1.22,USC Upstate,5.00,Longwood,08.02.2024
Missouri,3.10,Texas A&amp;M,1.48,draw,08.02.2024
California,1.80,USC,2.30,draw,08.02.2024
Stanford,1.68,UCLA,2.50,Stanford,08.02.2024
San Diego Toreros,2.60,Loyola Marymount,1.62,San Diego Toreros,08.02.2024
Lafayette,1.17,Holy Cross,6.00,Lafayette,08.02.2024
Bellarmine,2.70,Stetson,1.62,Stetson,07.02.2024
Eastern Kentucky,1.22,Florida Gulf Coast,5.00,Florida Gulf Coast,08.02.2024
American University,1.18,Loyola Maryland,5.30,American University,08.02.2024
Indiana State,1.03,Valparaiso,13.00,Indiana State,08.02.2024
Gonzaga,1.10,Portland,37.00,Gonzaga,08.02.2024
Aris,1.57,Trento,2.70,Aris Thessaloniki,07.02.2024
Lietkabelis,3.40,Cluj-Napoca,1.40,Lietkabelis,07.02.2024
London Lions,1.22,BC Wolves,5.00,London Lions,07.02.2024
Buducnost,2.70,Gran Canaria,1.57,Buducnost,07.02.2024
Paris,1.07,Cedevita Olimpija,10.50,Cedevita Olimpija,07.02.2024
Prometey,1.90,Joventut Badalona,2.10,draw,07.02.2024
Besiktas,2.20,Hapoel Tel-Aviv,1.80,Besiktas,07.02.2024
Golden State Warriors,2.23,Phoenix Suns,1.80,draw,11.02.2024
Brooklyn Nets,1.44,San Antonio Spurs,3.20,San Antonio Spurs,10.02.2024
Orlando Magic,1.53,Chicago Bulls,2.88,Orlando Magic,11.02.2024
New York Knicks,2.98,Indiana Pacers,1.48,Indiana Pacers,11.02.2024
Miami Heat,3.10,Boston Celtics,1.46,Boston Celtics,11.02.2024
Oklahoma City Thunder,1.62,Sacramento Kings,2.54,Oklahoma City Thunder,11.02.2024
Toronto Raptors,4.30,Cleveland Cavaliers,1.28,Cleveland Cavaliers,11.02.2024
Atlanta Hawks,1.38,Houston Rockets,3.55,Atlanta Hawks,11.02.2024
Charlotte Hornets,2.89,Memphis Grizzlies,1.51,Memphis Grizzlies,11.02.2024
Portland Trail Blazers,3.98,New Orleans Pelicans,1.31,draw,11.02.2024
